Title,People_Review,Selling_Price,Deliver_Charges,Seller_Rating,Shipping_Timing_Rating,Discount_Percentage,Original_Price,Chat_Responce_Rate
The CSS Wisdom,7 Ratings,Rs. 940,Free,93%,95%,-1%,Rs. 950,97%
Twisted Love : : An Intense Romantic Novel by the Sensational Writer Ana Huang Good Quality Paper Premium Quality Paperback Title,1 Ratings,Rs. 365,Free,80%,100%,-63%,Rs. 999,83%
The Power of Discipline: How to Use Self Control and Mental Toughness to Achieve Your Goals by Daniel Walter,No Ratings,Rs. 399,Free,86%,100%,-60%,Rs. 999,92%
Umera Ahmed Best Novel Peer e Kamil,3 Ratings,Rs. 639,Rs. 99,74%,93%,-57%,"Rs. 1,500",97%
Bin Roye Aansoo By Ferhat Ishtiaq,No Ratings,Rs. 789,Rs. 99,80%,100%,-47%,"Rs. 1,500",97%
Pahari ka qaidi and Daana Paani novel by Nimra Ahmed most selling Urdu novel,3 Ratings,Rs. 799,Rs. 99,80%,100%,-47%,"Rs. 1,500",97%
Nimra Ahmed Best N0vel Halim Part 1,1 Ratings,Rs. 948,Rs. 159,80%,100%,-57%,"Rs. 2,200",97%
Simple Trading Book For Beginners And Advance Traders,18 Ratings,"Rs. 1,299",Free,84%,100%,-13%,"Rs. 1,499",100%
Little Women (Puffin Classics) Paperback by Louisa May Alcott Paperback Pages 368,3 Ratings,Rs. 350,Free,86%,100%,-79%,"Rs. 1,699",100%
Twisted Love Book by Ana Huang,5 Ratings,Rs. 420,Free,86%,83%,-52%,Rs. 880,95%
Classical Mechanics 3rd Edition by Herbert Goldstein,1 Ratings,Rs. 695,Free,81%,100%,-54%,"Rs. 1,495",100%
Hum Kahan Ke Sache The By Umera Ahmed Best Selling Urdu Comolete Novel,No Ratings,Rs. 298,Rs. 99,80%,100%,-50%,Rs. 600,97%
Main Anmool By Nimra Ahmed | Best Novel |Urdu Reading Book | Most Selling Urdu Novel by Nimra Ahmed,No Ratings,Rs. 788,Rs. 99,74%,93%,-67%,"Rs. 2,400",97%
The Diary of a Young Girl by Anne Frank,9 Ratings,Rs. 350,Free,81%,100%,-79%,"Rs. 1,699",100%
Brida by Paulo Coelho,5 Ratings,Rs. 375,Free,87%,100%,-79%,"Rs. 1,799",100%
Sophie's World by Jostein Gaarder,5 Ratings,Rs. 423,Free,87%,100%,-79%,"Rs. 1,999",100%
Bitter Fruit: The Very Best of by Saadat Hasan Manto,5 Ratings,Rs. 599,Free,87%,100%,-70%,"Rs. 1,999",100%
A Good Girl Guide To Murder ( Novel ),1 Ratings,Rs. 325,Free,82%,100%,-67%,Rs. 999,91%
The Perks of Being a Wallflower by Stephen Chbosky Book,1 Ratings,Rs. 529,Free,86%,83%,-38%,Rs. 850,95%
The Secret History by Donna Tartt,No Ratings,Rs. 405,Free,87%,100%,-80%,"Rs. 1,999",100%
A Thousand Splendid Suns novel by Khaled Hosseini,No Ratings,Rs. 298,Free,New Seller,91%,-50%,Rs. 599,100%
The Night Circus by Erin Morgenstern,13 Ratings,Rs. 371,Free,87%,100%,-63%,Rs. 995,100%
"The Setting Sun by Osamu Dazai, Donald Keene",No Ratings,Rs. 425,Free,86%,83%,-50%,Rs. 850,95%
In Five Years Book by Rebecca Serle,No Ratings,Rs. 595,Free,83%,85%,-40%,"Rs. 1,000",100%
Satan's Affair by H.D. Carlton,1 Ratings,Rs. 399,Free,81%,100%,-78%,"Rs. 1,799",100%
Emaan Umeed Or Mohabat By Umera Ahmed,No Ratings,Rs. 329,Rs. 159,74%,93%,-59%,Rs. 799,97%
Fantastic Mr Fox Novel by Roald Dahl,No Ratings,Rs. 299,Free,86%,100%,-50%,Rs. 599,92%
Love On The Brain Novel,No Ratings,Rs. 325,Free,82%,100%,-46%,Rs. 599,91%
No Longer Human by Osamu Dazai,No Ratings,Rs. 299,Free,90%,90%,-70%,Rs. 999,98%
Darbar e Dil by Umera Ahmad Best selling urdu reading book,19 Ratings,Rs. 365,Free,89%,98%,-1%,Rs. 369,99%
Prayers of the Pious by Omar Suleiman,No Ratings,Rs. 329,Free,87%,100%,-81%,"Rs. 1,699",100%
Confess by Colleen Hoover,No Ratings,Rs. 350,Free,81%,100%,-79%,"Rs. 1,699",100%
DATING DR . DIL,No Ratings,Rs. 299,Free,90%,90%,-70%,Rs. 999,98%
The First 20 Hours,No Ratings,Rs. 325,Free,82%,100%,-54%,Rs. 699,91%
Pride and Prejudice Novel by Jane Austen,No Ratings,Rs. 349,Free,69%,100%,-65%,Rs. 999,100%
Working with Emotional Intelligence Book by Daniel Goleman,12 Ratings,Rs. 375,Free,87%,100%,-79%,"Rs. 1,799",100%
One of Us Is Next By Karen M. McManus,No Ratings,Rs. 345,Free,81%,100%,-65%,Rs. 995,100%
unite me. novel by taherh Mafi,1 Ratings,Rs. 309,Free,79%,100%,-56%,Rs. 695,92%
a novel hopeless by Colleen Hoover,No Ratings,Rs. 295,Free,88%,100%,-70%,Rs. 996,86%
Think and Grow Rich by Napoleon Hill,33 Ratings,Rs. 277,Free,87%,100%,-72%,Rs. 995,100%
